Time,CPU Util,GPU Util,MEM Util,CPU Temp,GPU Temp,CPU Power Consumption,GPU Power Consumption
11:50:11,19.29,0.0,0.45,44.5,43.0,2.06,0.0
11:50:14,19.29,0.0,0.46,44.5,43.0,1.14,0.0
11:50:16,27.62,0.0,0.47,43.5,42.5,1.26,0.0
11:50:19,26.52,0.0,0.48,44.5,42.5,1.26,0.0
11:50:21,24.21,10.5,0.53,43.5,41.0,1.7,0.16
11:50:24,19.29,0.0,0.59,44.0,42.5,1.14,0.0
11:50:26,19.29,38.3,0.63,45.5,41.0,1.66,0.16
11:50:29,23.5,37.1,0.64,44.0,40.5,1.5,0.16
11:50:31,23.62,0.0,0.64,43.5,40.5,1.26,0.08
11:50:34,19.29,8.6,0.64,43.5,40.5,1.3,0.08
11:50:36,19.29,0.0,0.64,44.5,41.0,1.26,0.08
11:50:39,24.16,37.6,0.64,44.0,41.0,1.38,0.12
11:50:41,24.25,8.5,0.64,44.5,41.0,1.38,0.12
11:50:44,19.29,0.0,0.64,44.5,41.0,1.3,0.08
11:50:46,19.29,0.0,0.64,44.0,41.0,1.3,0.08
11:50:49,24.44,0.0,0.64,44.5,41.0,1.38,0.08
11:50:51,24.47,32.1,0.64,43.5,41.0,1.5,0.16
11:50:54,19.29,0.0,0.64,44.5,41.0,1.3,0.08
11:50:56,19.29,0.0,0.64,43.5,41.5,1.26,0.12
11:50:59,24.69,4.6,0.64,44.0,41.5,1.42,0.08
11:51:01,24.74,35.5,0.64,44.0,41.5,1.5,0.16
11:51:04,19.29,0.0,0.64,43.5,41.0,1.26,0.08
11:51:06,19.29,18.0,0.64,44.5,41.0,1.34,0.08
11:51:09,24.81,0.0,0.64,45.0,41.5,1.3,0.08
11:51:11,25.42,0.0,0.63,46.0,42.0,2.18,0.12
11:51:14,19.29,32.0,0.63,44.5,41.0,1.54,0.16
11:51:16,19.29,0.0,0.63,44.5,41.0,1.34,0.08
11:51:19,25.86,18.3,0.63,44.0,41.0,1.3,0.08
11:51:21,25.85,0.0,0.63,45.0,41.5,1.3,0.08
11:51:24,19.29,32.7,0.63,44.5,41.0,1.54,0.16
11:51:26,19.29,0.0,0.63,44.5,41.0,1.42,0.12
11:51:29,25.83,0.0,0.63,45.0,41.0,1.3,0.08
11:51:31,25.86,0.0,0.63,45.0,41.0,1.34,0.08
11:51:34,19.29,32.4,0.63,44.5,41.5,1.47,0.12
11:51:36,19.3,32.6,0.63,44.5,41.0,1.5,0.16
11:51:39,25.79,0.0,0.63,44.5,41.0,1.3,0.08
