Time,CPU Util,GPU Util,MEM Util,CPU Temp,GPU Temp,CPU Power Consumption,GPU Power Consumption
22:15:33,20.5,0.0,0.37,47.5,46.5,2.08,0.0
22:15:35,20.5,0.0,0.38,48.0,45.5,1.73,0.0
22:15:38,28.39,0.0,0.4,47.0,45.0,1.33,0.0
22:15:40,27.43,0.0,0.41,47.0,45.0,1.21,0.0
22:15:43,20.5,0.0,0.41,47.0,45.5,1.21,0.0
22:15:45,20.5,0.0,0.41,47.0,45.5,1.25,0.0
22:15:48,20.5,0.0,0.41,47.5,45.5,1.22,0.0
22:15:50,26.33,0.0,0.41,46.5,45.5,1.21,0.0
22:15:53,26.16,0.0,0.41,46.5,45.5,1.22,0.0
22:15:55,20.5,0.0,0.41,46.5,45.5,1.33,0.0
22:15:58,20.5,0.0,0.41,46.5,45.0,1.22,0.0
22:16:00,26.11,0.0,0.41,47.0,45.5,1.29,0.0
22:16:03,26.1,0.0,0.41,46.5,45.5,1.29,0.0
22:16:05,20.5,0.0,0.41,47.0,45.5,1.25,0.0
22:16:08,20.5,0.0,0.41,47.0,45.0,1.22,0.0
22:16:10,26.1,0.0,0.41,47.0,45.5,1.33,0.0
22:16:13,26.08,0.0,0.41,46.5,45.5,1.3,0.0
22:16:15,20.5,0.0,0.41,47.5,45.5,1.22,0.0
22:16:18,20.5,0.0,0.41,46.5,46.0,1.22,0.0
22:16:20,26.0,0.0,0.41,47.0,46.0,1.29,0.0
22:16:23,25.97,0.0,0.41,46.5,45.5,1.34,0.0
22:16:25,20.5,0.0,0.41,47.5,45.0,1.25,0.0
22:16:28,20.5,0.0,0.41,47.0,45.5,1.22,0.0
22:16:30,25.9,0.0,0.41,46.5,45.0,1.3,0.0
22:16:33,25.87,0.0,0.41,47.0,45.0,1.22,0.0
22:16:35,20.5,0.0,0.41,47.0,45.5,1.3,0.0
22:16:38,20.5,0.0,0.41,47.0,45.5,1.22,0.0
22:16:40,25.84,0.0,0.41,46.5,45.5,1.25,0.0
22:16:43,25.84,0.0,0.41,46.5,45.5,1.3,0.0
22:16:45,20.5,0.0,0.41,46.5,45.5,1.22,0.0
22:16:48,20.5,0.0,0.41,47.0,45.5,1.25,0.0
22:16:50,25.8,0.0,0.41,48.0,45.0,1.22,0.0
22:16:53,25.8,0.0,0.41,47.5,45.5,1.25,0.0
22:16:55,20.5,0.0,0.41,47.0,45.5,1.34,0.0
22:16:58,20.5,0.0,0.41,47.5,45.5,1.33,0.0
22:17:00,25.83,0.0,0.41,47.5,45.5,1.22,0.0
22:17:03,25.81,0.0,0.41,47.0,45.5,1.22,0.0
22:17:05,20.5,0.0,0.41,47.0,45.5,1.33,0.0
22:17:08,20.5,0.0,0.41,47.0,45.5,1.25,0.0
22:17:10,25.81,0.0,0.41,47.5,45.5,1.25,0.0
22:17:13,25.81,0.0,0.41,47.5,45.5,1.3,0.0
22:17:15,20.5,0.0,0.41,47.5,45.5,1.3,0.0
22:17:18,20.5,0.0,0.41,46.5,45.5,1.22,0.0
22:17:20,25.8,0.0,0.41,47.5,45.5,1.25,0.0
22:17:23,25.8,0.0,0.41,47.0,45.5,1.29,0.0
22:17:25,20.5,0.0,0.41,47.0,45.5,1.25,0.0
22:17:28,20.5,0.0,0.41,47.0,45.5,1.34,0.0
