CPU (%),Memory (%),Time
96.9,4.911108153799899,0.0
98.9,5.104812038228176,5.0
99.9,5.188208214424779,10.0
98.9,5.188208214424779,15.0
98.9,5.188208214424779,20.0
99.9,5.188208214424779,25.0
98.9,5.188208214424779,30.0
98.9,5.188208214424779,35.0
99.9,5.188208214424779,40.0
98.9,5.188208214424779,45.0
98.9,5.188208214424779,50.0
99.9,5.188208214424779,55.0
99.9,5.188208214424779,60.0
98.9,5.188208214424779,65.0
98.9,5.188208214424779,70.0
99.9,5.188208214424779,75.0
99.9,5.188701099626885,80.0
98.9,5.188701099626885,85.0
98.9,5.188701099626885,90.0
98.9,5.188701099626885,95.0
99.9,5.188701099626885,100.0
99.9,5.188701099626885,105.0
98.9,5.212063858206785,110.0
99.9,5.212063858206785,115.0
98.9,5.215415477581117,120.0
99.9,5.215415477581117,125.0
99.9,5.21689413318744,130.0
98.9,5.21689413318744,135.0
99.9,5.21689413318744,140.0
99.9,5.21689413318744,145.0
99.9,5.21689413318744,150.0
98.9,5.21689413318744,155.0
99.9,5.21689413318744,160.0
98.9,5.21689413318744,165.0
98.9,5.21689413318744,170.0
99.9,5.21689413318744,175.0
98.9,5.21689413318744,180.0
99.9,5.21689413318744,185.0
98.9,5.21689413318744,190.0
99.9,5.21689413318744,195.0
98.9,5.21689413318744,200.0
99.9,5.21689413318744,205.0
98.9,5.21689413318744,210.0
98.9,5.21689413318744,215.0
99.9,5.21689413318744,220.0
99.9,5.21689413318744,225.0
99.9,5.21689413318744,230.0
98.9,5.21689413318744,235.0
98.9,5.21689413318744,240.0
99.9,5.21689413318744,245.0
99.9,5.21689413318744,250.0
98.9,5.21689413318744,255.0
98.9,5.21689413318744,260.0
99.9,5.21689413318744,265.0
99.9,5.21689413318744,270.0
99.9,5.21689413318744,275.0
98.9,5.21689413318744,280.0
99.9,5.21689413318744,285.0
99.9,5.21689413318744,290.0
99.9,5.21689413318744,295.0
99.9,5.21689413318744,300.0
99.9,5.21689413318744,305.0
99.9,5.21689413318744,310.0
99.9,5.21689413318744,315.0
98.9,5.21689413318744,320.0
98.9,5.21689413318744,325.0
98.9,5.21689413318744,330.0
99.9,5.21689413318744,335.0
98.9,5.21689413318744,340.0
99.9,5.21689413318744,345.0
99.9,5.21689413318744,350.0
98.9,5.21689413318744,355.0
98.9,5.21689413318744,360.0
99.9,5.21689413318744,365.0
98.9,5.21689413318744,370.0
99.9,5.21689413318744,375.0
99.9,5.21689413318744,380.0
99.9,5.21689413318744,385.0
98.9,5.21689413318744,390.0
98.9,5.21689413318744,395.0
98.9,5.21689413318744,400.0
99.9,5.21689413318744,405.0
99.9,5.21689413318744,410.0
99.9,5.21689413318744,415.0
98.9,5.21689413318744,420.0
99.9,5.21689413318744,425.0
98.9,5.21689413318744,430.0
99.9,5.21689413318744,435.0
99.9,5.21689413318744,440.0
98.9,5.21689413318744,445.0
99.0,5.21689413318744,450.0
