Time,CPU Util,GPU Util,MEM Util,CPU Temp,GPU Temp,CPU Power Consumption,GPU Power Consumption
15:02:01,19.73,0.0,0.43,48.0,46.5,1.78,0.0
15:02:03,19.73,0.0,0.43,47.0,46.0,0.7,0.0
15:02:06,15.6,0.0,0.44,46.5,45.5,0.57,0.0
15:02:08,16.73,0.0,0.44,47.5,46.0,1.06,0.0
15:02:11,19.72,0.0,0.45,46.5,45.5,0.61,0.0
15:02:13,19.72,0.0,0.45,47.0,46.0,1.14,0.0
15:02:16,13.17,0.0,0.46,46.5,45.5,0.53,0.0
15:02:18,11.81,0.0,0.46,46.5,45.5,0.61,0.0
15:02:21,12.31,0.0,0.47,48.5,45.5,1.3,0.0
15:02:23,19.72,0.0,0.47,47.0,46.0,1.22,0.0
15:02:26,15.51,0.0,0.47,47.0,45.5,1.22,0.0
15:02:28,16.23,0.0,0.47,47.0,45.5,1.22,0.0
15:02:31,19.72,0.0,0.47,48.0,45.5,1.22,0.0
15:02:33,19.72,0.0,0.47,47.0,45.5,1.22,0.0
15:02:36,19.72,0.0,0.47,47.5,45.5,1.22,0.0
15:02:38,18.63,0.0,0.47,47.0,45.5,1.22,0.0
15:02:41,18.96,0.0,0.47,48.0,46.0,1.22,0.0
15:02:43,19.73,0.0,0.47,47.0,45.5,1.22,0.0
15:02:46,19.73,0.0,0.47,48.0,45.5,1.22,0.0
15:02:48,20.04,0.0,0.47,47.5,45.5,1.22,0.0
15:02:51,20.27,0.0,0.47,47.0,45.5,1.22,0.0
15:02:53,19.73,0.0,0.47,47.0,45.5,1.22,0.0
15:02:56,19.73,0.0,0.47,47.0,45.5,1.22,0.0
15:02:58,20.98,0.0,0.47,47.0,46.0,1.22,0.0
15:03:01,21.13,0.0,0.47,48.0,45.5,1.22,0.0
15:03:03,19.73,0.0,0.47,47.5,46.0,1.22,0.0
15:03:06,19.73,0.0,0.47,47.5,45.5,1.22,0.0
15:03:08,21.64,0.0,0.47,47.0,46.0,1.22,0.0
15:03:11,21.75,0.0,0.47,47.5,45.5,1.22,0.0
15:03:13,19.73,0.0,0.47,47.5,45.5,1.22,0.0
15:03:16,19.73,0.0,0.47,47.0,45.5,1.22,0.0
15:03:18,22.13,0.0,0.47,47.0,45.5,1.22,0.0
15:03:21,22.21,0.0,0.47,48.0,45.5,1.22,0.0
15:03:23,19.73,0.0,0.47,47.5,45.5,1.22,0.0
15:03:26,19.73,0.0,0.47,47.0,45.5,1.22,0.0
15:03:28,22.49,0.0,0.47,47.0,45.5,1.22,0.0
15:03:31,22.54,0.0,0.47,47.0,45.5,1.22,0.0
15:03:33,19.73,0.0,0.47,47.0,45.5,1.22,0.0
15:03:36,19.73,0.0,0.47,47.0,45.5,1.22,0.0
15:03:38,22.78,0.0,0.47,47.0,45.5,1.22,0.0
15:03:41,22.84,0.0,0.47,47.0,46.0,1.22,0.0
15:03:43,19.73,0.0,0.47,48.0,45.5,1.22,0.0
15:03:46,19.73,0.0,0.47,47.5,45.5,1.22,0.0
15:03:48,23.03,0.0,0.47,46.5,45.5,1.22,0.0
15:03:51,23.07,0.0,0.47,47.0,45.5,1.22,0.0
15:03:53,19.73,0.0,0.47,47.0,45.5,1.22,0.0
15:03:56,19.73,0.0,0.47,47.0,45.5,1.22,0.0
15:03:58,23.24,0.0,0.47,47.0,45.5,1.22,0.0
15:04:01,23.28,0.0,0.47,47.0,46.0,1.18,0.0
15:04:03,19.73,0.0,0.47,47.5,45.5,1.22,0.0
15:04:06,19.73,0.0,0.47,47.0,45.5,1.22,0.0
15:04:08,23.41,0.0,0.47,47.0,45.5,1.22,0.0
15:04:11,23.44,0.0,0.47,47.5,45.5,1.22,0.0
15:04:13,19.73,0.0,0.47,46.5,45.5,1.22,0.0
15:04:16,19.73,0.0,0.47,46.5,45.5,1.22,0.0
15:04:18,23.56,0.0,0.47,46.5,45.5,1.22,0.0
15:04:21,23.58,0.0,0.47,46.5,45.5,1.22,0.0
15:04:23,19.73,0.0,0.36,47.0,45.5,1.22,0.0
15:04:26,19.73,0.0,0.36,47.0,45.5,1.26,0.0
15:04:28,23.69,0.0,0.36,47.0,45.5,1.22,0.0
15:04:31,23.72,0.0,0.36,46.5,45.5,1.22,0.0
15:04:33,19.73,0.0,0.36,46.5,45.5,1.22,0.0
15:04:36,19.73,0.0,0.36,47.0,45.5,1.22,0.0
15:04:38,23.79,0.0,0.36,47.0,45.5,1.22,0.0
15:04:41,23.81,0.0,0.36,46.5,45.5,1.22,0.0
15:04:43,19.73,0.0,0.36,46.5,45.5,1.22,0.0
15:04:46,19.73,0.0,0.36,46.5,45.5,1.22,0.0
15:04:48,23.89,0.0,0.36,47.0,45.5,1.22,0.0
15:04:51,23.9,0.0,0.36,47.0,45.5,1.22,0.0
