Time,CPU Util,GPU Util,MEM Util,CPU Temp,GPU Temp,CPU Power Consumption,GPU Power Consumption
13:58:14,19.6,0.0,0.4,48.5,47.0,2.1,0.0
13:58:16,19.6,0.0,0.41,47.5,45.0,1.14,0.08
13:58:19,27.97,0.0,0.42,48.0,46.5,1.34,0.0
13:58:21,26.62,0.0,0.43,47.5,46.5,1.3,0.0
13:58:24,24.41,10.9,0.48,48.5,45.5,1.54,0.16
13:58:26,19.6,0.0,0.56,47.5,46.0,1.22,0.0
13:58:29,19.6,44.8,0.6,48.5,45.0,1.58,0.16
13:58:31,21.28,0.0,0.61,48.0,45.0,1.3,0.16
13:58:34,21.58,0.0,0.61,48.0,45.0,1.3,0.08
13:58:36,19.6,4.4,0.61,49.0,45.0,1.3,0.08
13:58:39,19.6,0.0,0.61,47.5,45.0,1.3,0.08
13:58:41,22.58,4.8,0.61,47.5,45.0,1.26,0.08
13:58:44,22.75,12.3,0.62,47.5,45.0,1.3,0.08
13:58:46,19.6,0.0,0.62,48.0,46.5,1.3,0.0
13:58:49,19.6,1.9,0.62,47.0,44.5,1.34,0.16
13:58:51,23.28,33.0,0.62,48.0,45.0,1.54,0.16
13:58:54,23.42,0.0,0.62,47.0,46.5,1.18,0.0
13:58:56,19.6,0.0,0.62,48.0,45.0,1.34,0.08
13:58:59,19.6,0.0,0.62,47.5,44.5,1.34,0.08
13:59:01,23.77,0.0,0.62,47.0,44.5,1.3,0.08
13:59:04,23.83,4.6,0.62,48.5,44.5,1.34,0.08
13:59:06,19.6,13.6,0.62,48.5,44.5,1.5,0.12
13:59:09,19.6,0.0,0.62,48.5,44.5,1.34,0.12
13:59:11,24.05,4.8,0.62,48.5,44.5,1.34,0.08
13:59:14,24.08,0.0,0.62,48.0,44.5,1.46,0.12
13:59:16,19.6,4.4,0.62,47.5,44.5,1.34,0.08
13:59:19,19.6,0.0,0.62,49.0,44.5,1.3,0.08
13:59:21,24.25,0.0,0.62,47.0,44.5,1.3,0.08
13:59:24,24.29,4.6,0.62,47.5,44.5,1.26,0.08
13:59:26,19.6,0.0,0.62,48.5,44.5,1.42,0.12
13:59:29,19.6,0.0,0.62,48.0,44.0,1.26,0.08
13:59:31,24.41,0.0,0.62,47.5,44.5,1.34,0.08
13:59:34,24.43,0.0,0.62,47.0,44.5,1.06,0.08
13:59:36,19.6,1.9,0.62,48.0,45.0,1.3,0.08
13:59:39,19.6,0.0,0.62,48.0,44.5,1.3,0.08
13:59:41,24.55,0.0,0.62,47.0,45.0,1.3,0.08
13:59:44,24.57,0.0,0.62,47.5,45.0,1.3,0.08
13:59:46,19.6,0.0,0.62,48.5,45.0,1.42,0.08
13:59:49,19.6,1.9,0.62,48.0,44.5,1.34,0.08
13:59:51,24.69,38.7,0.62,47.5,45.0,1.58,0.16
13:59:54,24.69,0.0,0.62,47.5,45.0,1.38,0.08
13:59:56,19.6,0.0,0.62,48.0,45.0,1.34,0.08
13:59:59,19.6,0.0,0.62,47.5,45.0,1.34,0.08
14:00:01,24.75,6.6,0.62,48.5,45.0,1.46,0.08
14:00:04,24.75,5.3,0.62,47.5,45.0,1.34,0.08
14:00:06,19.6,1.9,0.62,49.0,45.0,1.34,0.08
14:00:09,19.6,0.0,0.62,48.0,45.0,1.46,0.12
14:00:11,24.8,0.0,0.62,49.0,45.0,1.3,0.08
14:00:14,24.82,0.0,0.62,47.5,44.5,1.3,0.08
14:00:16,19.6,10.3,0.62,48.0,45.0,1.34,0.08
14:00:19,19.6,0.0,0.62,47.5,45.0,1.3,0.08
14:00:21,24.86,0.0,0.62,48.0,44.5,1.42,0.08
