Time,CPU Util,GPU Util,MEM Util,CPU Temp,GPU Temp,CPU Power Consumption,GPU Power Consumption
16:39:36,19.82,0.0,0.32,47.5,45.5,1.98,0.0
16:39:38,19.92,0.0,0.36,47.0,45.5,1.82,0.0
16:39:41,19.92,0.0,0.37,46.5,44.5,1.18,0.0
16:39:43,27.14,0.0,0.39,46.5,45.0,1.06,0.0
16:39:46,26.76,0.0,0.39,46.0,44.5,1.38,0.0
16:39:48,19.92,0.0,0.39,46.0,44.5,1.3,0.0
16:39:51,19.92,0.0,0.39,46.5,45.0,1.34,0.0
16:39:53,26.02,0.0,0.39,46.0,44.5,1.26,0.0
16:39:56,25.95,0.0,0.4,47.0,44.5,1.22,0.0
16:39:58,19.92,0.0,0.4,46.0,44.5,1.18,0.0
16:40:01,19.92,0.0,0.4,46.0,44.5,1.18,0.0
16:40:03,25.75,0.0,0.4,46.0,45.0,1.18,0.0
16:40:06,25.74,0.0,0.4,45.5,45.0,1.18,0.0
16:40:08,19.92,0.0,0.4,46.5,45.0,1.18,0.0
16:40:11,19.92,0.0,0.4,46.0,45.0,1.22,0.0
16:40:13,25.68,0.0,0.4,46.5,45.0,1.18,0.0
16:40:16,25.66,0.0,0.4,46.0,45.0,1.22,0.0
16:40:18,19.92,0.0,0.4,46.0,44.5,1.18,0.0
16:40:21,19.92,0.0,0.4,46.0,44.5,1.18,0.0
16:40:23,25.59,0.0,0.4,46.0,44.5,1.18,0.0
16:40:26,25.58,0.0,0.4,46.0,44.5,1.18,0.0
16:40:28,19.92,0.0,0.4,46.0,44.5,1.18,0.0
16:40:31,19.92,0.0,0.4,46.0,44.5,1.22,0.0
16:40:33,25.55,0.0,0.4,46.0,44.5,1.18,0.0
16:40:36,25.55,0.0,0.4,46.0,44.5,1.22,0.0
16:40:38,19.92,0.0,0.4,46.0,44.5,1.18,0.0
16:40:41,19.92,0.0,0.4,46.5,45.0,1.18,0.0
16:40:43,25.5,0.0,0.4,46.0,45.0,1.18,0.0
16:40:46,25.49,0.0,0.4,46.0,44.5,1.18,0.0
16:40:48,19.92,0.0,0.4,46.0,44.5,1.18,0.0
16:40:51,19.92,0.0,0.4,46.0,45.0,1.22,0.0
16:40:53,25.49,0.0,0.4,47.0,44.5,1.22,0.0
16:40:56,25.5,0.0,0.4,46.0,45.0,1.22,0.0
16:40:58,19.92,0.0,0.4,46.5,44.5,1.18,0.0
16:41:01,19.92,0.0,0.4,46.0,44.5,1.18,0.0
16:41:03,25.48,0.0,0.4,46.0,44.5,1.22,0.0
16:41:06,25.47,0.0,0.4,46.0,44.5,1.22,0.0
16:41:09,19.92,0.0,0.4,46.5,44.5,1.18,0.0
16:41:11,19.92,0.0,0.4,46.0,44.5,1.18,0.0
16:41:14,25.47,0.0,0.4,46.5,44.5,1.22,0.0
16:41:16,25.47,0.0,0.4,46.0,45.0,1.22,0.0
16:41:19,19.92,0.0,0.4,46.0,44.5,1.18,0.0
16:41:21,19.92,0.0,0.4,46.0,45.0,1.18,0.0
16:41:24,25.48,0.0,0.4,45.5,45.0,1.22,0.0
16:41:26,25.48,0.0,0.4,46.5,44.5,1.22,0.0
16:41:29,19.92,0.0,0.4,46.0,45.0,1.18,0.0
16:41:31,19.92,0.0,0.4,46.0,44.5,1.18,0.0
16:41:34,25.47,0.0,0.4,46.0,44.5,1.22,0.0
16:41:36,25.46,0.0,0.4,46.0,45.0,1.22,0.0
16:41:39,19.92,0.0,0.4,46.5,44.5,1.18,0.0
16:41:41,19.92,0.0,0.4,46.5,45.0,1.18,0.0
16:41:44,25.46,0.0,0.4,46.5,44.5,1.22,0.0
16:41:46,25.46,0.0,0.4,46.5,45.0,1.22,0.0
16:41:49,19.92,0.0,0.4,46.0,44.5,1.22,0.0
16:41:51,19.92,0.0,0.4,46.0,44.5,1.22,0.0
16:41:54,25.44,0.0,0.4,45.5,44.5,1.22,0.0
16:41:56,25.44,0.0,0.4,46.0,44.5,1.22,0.0
16:41:59,19.92,0.0,0.4,47.0,44.5,1.18,0.0
16:42:01,19.92,0.0,0.4,46.0,44.5,1.18,0.0
16:42:04,25.44,0.0,0.4,47.0,44.5,1.18,0.0
16:42:06,25.44,0.0,0.4,46.5,44.5,1.18,0.0
16:42:09,19.92,0.0,0.4,46.0,44.5,1.18,0.0
16:42:11,19.92,0.0,0.4,45.5,44.0,1.22,0.0
16:42:14,25.43,0.0,0.4,45.5,44.5,1.18,0.0
16:42:16,25.43,0.0,0.4,46.0,44.5,1.18,0.0
16:42:19,19.92,0.0,0.4,46.5,44.5,1.22,0.0
16:42:21,19.92,0.0,0.4,46.0,45.0,1.22,0.0
